SO Name,NESLI2 Maney Health Sciences 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_health sciences_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney Publishing,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Health Sciences,,,,,,,,,,,,,,,,,,,,,,
Package Name,Health Sciences,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
"Bubble Science, Engineering & Technology",1758-8960,1758-8979,2009,1,1,,,,bub,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bub,Ingenta Connect ,administrative,,Highwire,administrative,
Cochlear Implants International,1467-0100,1754-7628,2000,1,1,,,,cii,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cii,Ingenta Connect ,administrative,,Highwire,administrative,
Deafness & Education International,1464-3154,1557-069X,1999,1,1,,,,dei,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dei,Ingenta Connect ,administrative,,Highwire,administrative,
Hematology,1024-5332,1607-8454,2002,7,2,,,,hem,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/hem,Ingenta Connect ,administrative,,Highwire,administrative,
International Journal of Developmental Disabilities,2047-3869,2047-3877,1992,,,,,,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/jdd,Ingenta Connect ,administrative,,Highwire,administrative,
International Musculoskeletal Medicine,1753-6146,1753-6154,2008,30,1,,,,imm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/imm,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Care Services Management,1750-1679,1750-1687,2006,1,1,,,,csm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/csm,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Communication in Healthcare,1753-8068,1753-8076,2008,1,1,,,,cih,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cih,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Histotechnology,0147-8885,2046-0236,1977,1,1,,,,his,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/his,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Management & marketing in Helathcare,2047-9700,2047-9719,2007,1,1,2011,4,4,mmh,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mmh,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Manual & Manipulative Therapy,1066-9817,2042-6186,1993,1,1,,,,jmt,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/jmt,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Orthodontics,1465-3125,1465-3133,1973,1,1,,,,jorthod,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://jorthod.maneyjournals.org/,Ingenta Connect ,administrative,,Highwire,administrative,
Journal of Spinal Cord Medicine,1079-0268,2045-7723,2011,34,1,,,,scm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/scm,Ingenta Connect ,administrative,,Highwire,administrative,
Medical Writing,2047-4806,2047-4814,2012,21,1,,,,mew,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mew,Ingenta Connect ,administrative,,Highwire,administrative,
Neurological Research,0161-6412,1743-1328,2001,23,1,,,,nres,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/nres,Ingenta Connect ,administrative,,Highwire,administrative,
Nutritional Neuroscience ,,1476-8305,2002,5,3,,,,nns,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/nns,Ingenta Connect ,administrative,,Highwire,administrative,
Paediatrics and International Child Health ,2046-9047,2046-9055,2012,32,1,,,,pch,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pch,Ingenta Connect ,administrative,,Highwire,administrative,
Pathogens and Global Health ,2047-7724,2047-7732,2002,106,1,,,,pgh,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pgh,Ingenta Connect ,administrative,,Highwire,administrative,
Pharmaceutical Programming,1757-0921,1757-093X,2008,1,1,,,,pha,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pha,Ingenta Connect ,administrative,,Highwire,administrative,
Physical Therapy Reviews,1083-3196,1743-288X,1996,1,1,,,,ptr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ptr,Ingenta Connect ,administrative,,Highwire,administrative,
Progress in Palliative Care,0969-9260,1743-291X,2003,11,1,,,,ppc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ppc,Ingenta Connect ,administrative,,Highwire,administrative,
Redox Report ,,1743-2928,1999,4,1,,,,rer,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/rer,Ingenta Connect ,administrative,,Highwire,administrative,
Annals of Tropical Medicine & Parasitology,2046-9047,2046-9055,2002,93,1,2011,105,7,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/atmp,Ingenta Connect ,administrative,,Highwire,administrative,
Annals of Tropical Paediatrics,2047-7724,2047-7732,2002,22,1,2011,31,4,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/atp,Ingenta Connect ,administrative,,Highwire,administrative,
International Journal of Healthcare Management ,2047-9700,2047-9719,2012,5,1,,,,ihm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ihm,Ingenta Connect ,administrative,,Highwire,administrative,
British Journal of Developmental Disabilities,0969-7950,,1998,44,86,2011,57,113,bjdd,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bjdd,Ingenta Connect ,administrative,,Highwire,administrative,
