SO Name,NESLI2 Maney Language and Literature 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_language and literature_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney Publishing,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Language and Literature,,,,,,,,,,,,,,,,,,,,,,
Package Name,Language and Literature,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Bronte Society Transactions,"0309-7765
",,2001,1,1,,26,2,,,Full Text,,Maney Publishing,,Ingenta Connect,host,,Ingenta Connect ,administrative,,Highwire,administrative,
Bronte Studies,1474-8932,1745-8226,2002,27,1,,,,bst,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/bst,Ingenta Connect ,administrative,,Highwire,administrative,
Byzantine and Modern Greek Studies,0307-0131,1749-625X,1975,1,1,,,,byz,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/byz,Ingenta Connect ,administrative,,Highwire,administrative,
Central Europe,1479-0963,1745-8218,2003,1,1,,,,ceu,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ceu,Ingenta Connect ,administrative,,Highwire,administrative,
Comparative American Studies,1477-5700,1741-2676,2003,1,1,,,,cas,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/cas,Ingenta Connect ,administrative,,Highwire,administrative,
Dix-Neuf ,,1478-7318,2003,1,1,,,,dix,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dix,Ingenta Connect ,administrative,,Highwire,administrative,
Dutch Crossing,0309-6564,1759-7854,2009,33,1,,,,dtc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/dtc,Ingenta Connect ,administrative,,Highwire,administrative,
Early Medieval China,1529-9104,1946-7842,1994,1,1,,,,emc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/emc,Ingenta Connect ,administrative,,Highwire,administrative,
Exemplaria:  A Journal of Theory in Medieval Renaissance Studies,1041-2573,1753-3074,1989,1,1,,,,exm,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/exm,Ingenta Connect ,administrative,,Highwire,administrative,
Hispanic Research Journal,1468-2737,1745-820X,2000,1,1,,,,hrj,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/hrj,Ingenta Connect ,administrative,,Highwire,administrative,
Italian Culture,0161-4622,1559-0909,2009,27,1,,,,itc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/itc,Ingenta Connect ,administrative,,Highwire,administrative,
Italian Studies,0075-1634,1748-6181,1937,1,1,,,,its,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/its,Ingenta Connect ,administrative,,Highwire,administrative,
Language & History,1759-7536,1759-7544,2009,52,1,,,,lhi,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/lhi,Ingenta Connect ,administrative,,Highwire,administrative,
Medieval Sermon Studies,1366-0691,1749-6276,2006,50,,,,,mss,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mss,Ingenta Connect ,administrative,,Highwire,administrative,
Ming Studies,0147-037X,1759-7595,1975,1,Fall,,,,mng,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mng,Ingenta Connect ,administrative,,Highwire,administrative,
Names:  A Journal of Onomastics,0027-7738,1756-2279,2008,56,1,,,,nam,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/nam,Ingenta Connect ,administrative,,Highwire,administrative,
Oxford German Studies,0078-7191,1745-9214,1966,1,,,,,ogs,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ogs,Ingenta Connect ,administrative,,Highwire,administrative,
Publications of the English Goethe Society,0959-3683,1749-6284,2006,75,1,,,,peg,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/peg,Ingenta Connect ,administrative,,Highwire,administrative,
Romance Studies,0263-9904,1745-8153,1982,1,1,,,,ros,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ros,Ingenta Connect ,administrative,,Highwire,administrative,
Seventeenth-Century French Studies,0265-1068,1752-2692,1979,1,,,,,c17,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/c17,Ingenta Connect ,administrative,,Highwire,administrative,
Slavonica ,1361-7427,1745-8145,1994,1,,,,,sla,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sla,Ingenta Connect ,administrative,,Highwire,administrative,
T'ang Studies,0737-5034,1759-7633,1982,1982,1,,,,tang,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tang,Ingenta Connect ,administrative,,Highwire,administrative,
The Chinese Historical Review,1547-402X,2048-7827,2012,14,1,,,,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tcr,Ingenta Connect ,administrative,,Highwire,administrative,
The Italianist,0261-4340,1748-619X,1981,1,1,,,,ita,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ita,Ingenta Connect ,administrative,,Highwire,administrative,
The Keats-Shelley Review,0952-4142,2042-1362,1987,24,1,,,,ksr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ksr,Ingenta Connect ,administrative,,Highwire,administrative,
Twentieth-Century China,1521-5385,1940-5065,1994,,1,,,,tcc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tcc,Ingenta Connect ,administrative,,Highwire,administrative,
